"Source","Target","Type"
"JUNB","ETS1",1
"TP63","ETS1",1
"ELK3","ETS1",1
"ATF4","ETS1",1
"SOX4","ETS1",1
"JUNB","JUN",1
"ETS1","JUNB",1
"JUN","JUNB",1
"ELK3","JUNB",1
"HMGA1","JUNB",2
"ETS1","FOSL1",1
"TP63","FOSL1",1
"ELK3","TP63",1
"ETS1","RELB",1
"FOSL1","RELB",1
"KLF6","RELB",1
"ETS1","ELK3",1
"JUNB","ELK3",1
"TP63","ELK3",1
"RELB","ELK3",1
"KLF6","ELK3",1
"RUNX1","ELK3",1
"NR2F2","ELK3",2
"ETS1","ATF4",1
"ETS1","SOX4",1
"ELK3","SOX4",1
"ETS1","KLF6",1
"RELB","KLF6",1
"ATF4","KLF6",1
"HMGA2","KLF6",1
"ETS1","HMGA2",1
"RELB","HMGA2",1
"FOSL1","RUNX1",1
"ELK3","RUNX1",1
"MYC","CEBPB",2
"KLF6","MYC",2
"MYBL2","MYC",2
"FOSL1","MYBL2",2
"RELB","NR2F2",2
"ELK3","NR2F2",2
"ETS1","HMGA1",2
"JUNB","HMGA1",2
"FOSL1","PPARG",1
"FOSL1","MXD1",1
"ETS1","PITX1",2
"CEBPB","E2F4",2
"RELB","ESRRA",2
"ELK3","ESR1",2
"ETS1","NFYB",2
"ELK3","NFYB",2
"FOSL1","KLF5",2
"ETS1","TFDP2",2
"ELK3","NFE2L2",2
"MYC","MGA",2
"MYC","KLF9",2
